Customer_ID,Age,Gender,Annual_Income,Occupation,City,Membership_Level,Spending_Score,Purchase_Frequency,Average_Order_Value,Days_Since_Last_Purchase,Preferred_Category,Online_Visits,Discount_Usage,Returns_Count,Tenure_Years,Total_Spending,Payment_Method,Satisfaction_Score
97,70,Female,103916,Freelancer,Boston,Silver,62,12,255.64,13,Sports,99,19,1,10,3214.86,Credit Card,2
98,41,Female,122967,Engineer,Phoenix,Bronze,21,24,101.44,38,Electronics,45,10,12,9,2193.59,Credit Card,6
99,43,Female,109455,Student,Phoenix,Bronze,24,49,72.29,198,Electronics,7,7,14,10,3764.09,Cash,1
100,42,Female,64756,Teacher,San Francisco,Platinum,44,29,298.2,107,Toys,69,19,1,1,8610.09,Cash,5
101,62,Male,137863,Freelancer,Boston,Gold,41,15,258.12,267,Fashion,32,22,12,0,3424.6,UPI,1
102,58,Male,76192,Teacher,Seattle,Bronze,29,18,350.45,352,Books,53,10,14,3,5222.2,UPI,7
103,46,Female,63733,Freelancer,Miami,Bronze,6,7,159.55,310,Sports,69,4,14,4,925.04,Cash,3
104,32,Male,40993,Other,San Francisco,Silver,56,13,207.16,39,Electronics,25,21,9,1,2785.57,UPI,9
105,62,Male,39143,Teacher,Phoenix,Bronze,14,19,20.47,346,Home,95,23,4,11,429.11,Debit Card,5
106,18,Male,122044,Business,Miami,Silver,50,48,308.97,268,Grocery,84,3,12,9,15955.66,Credit Card,1
107,42,Female,143406,Teacher,Seattle,Platinum,78,43,217.34,68,Sports,86,12,2,5,9692.73,Cash,10
108,24,Male,84351,Retired,Boston,Bronze,52,5,460.68,151,Grocery,77,5,11,7,2037.06,Debit Card,4
109,26,Male,85309,Student,Miami,Bronze,88,26,324.48,186,Fashion,2,28,11,11,9657.37,Debit Card,8
110,41,Male,134156,Freelancer,Boston,Gold,77,2,205.36,351,Books,86,25,9,10,431.89,Net Banking,7
111,18,Female,91000,Student,Seattle,Bronze,1,33,139.16,240,Home,61,1,0,11,4949.01,Cash,6
112,61,Male,36576,Retired,Dallas,Platinum,12,48,453.59,226,Sports,9,24,7,4,19367.18,Net Banking,9
113,25,Male,18320,Retired,Houston,Silver,24,37,17.97,203,Home,51,27,5,15,601.46,Debit Card,4
114,41,Female,118002,Teacher,Miami,Platinum,37,25,170.19,266,Toys,2,24,2,3,4948.36,Cash,10
115,28,Female,41572,Doctor,Miami,Bronze,84,25,472.32,117,Home,45,30,7,6,11694.99,Net Banking,1
116,68,Male,32948,Doctor,Boston,Bronze,70,39,330.48,316,Books,32,27,12,12,13166.3,Credit Card,10
117,34,Male,131528,Retired,Boston,Silver,76,30,271.03,291,Home,72,25,10,4,6864.97,Cash,6
118,25,Female,104051,Doctor,Miami,Silver,85,41,109.73,221,Fashion,80,25,0,11,4309.21,Net Banking,4
119,52,Female,42867,Freelancer,Boston,Bronze,3,4,418.35,62,Books,97,5,2,7,1932.47,UPI,1
120,52,Female,59678,Engineer,Chicago,Platinum,27,19,110.06,4,Beauty,75,21,8,6,2425.85,Cash,10
121,50,Female,122561,Business,Chicago,Gold,53,27,131.64,333,Fashion,32,9,5,4,3881.49,UPI,3
122,22,Female,27963,Teacher,Dallas,Silver,100,47,104.01,291,Toys,8,22,0,12,4977.71,Cash,1
123,59,Female,64434,Engineer,Dallas,Bronze,17,39,87.49,144,Home,96,3,8,13,4000.12,Net Banking,5
124,56,Female,81617,Doctor,Dallas,Gold,15,24,477.12,149,Beauty,85,15,6,10,13154.04,Net Banking,8
125,58,Male,132569,Teacher,Phoenix,Gold,39,50,305.0,158,Sports,89,22,0,14,17362.74,Cash,2
126,45,Female,112352,Engineer,Phoenix,Silver,4,37,322.54,268,Grocery,20,30,0,7,13756.57,Debit Card,6
127,24,Female,94732,Student,Los Angeles,Platinum,17,25,477.62,318,Grocery,65,9,4,0,11717.16,Net Banking,6
128,26,Male,122648,Doctor,San Francisco,Bronze,11,29,122.98,10,Grocery,21,0,10,7,3602.78,Cash,5
129,25,Female,96494,Other,Houston,Bronze,12,31,12.9,68,Toys,7,12,3,2,387.75,Cash,7
130,29,Female,92225,Engineer,Chicago,Bronze,32,45,303.45,191,Fashion,89,13,11,0,14966.52,Credit Card,1
131,51,Male,97867,Other,Seattle,Gold,27,35,258.84,101,Sports,9,22,7,8,9392.52,UPI,10
132,50,Female,93972,Freelancer,Houston,Silver,44,28,244.05,31,Sports,86,11,12,10,5657.23,Credit Card,4
133,65,Male,111261,Student,Houston,Bronze,43,38,40.32,201,Beauty,2,12,1,12,1309.45,UPI,6
134,40,Male,105748,Doctor,Seattle,Bronze,91,44,232.67,265,Sports,19,0,5,5,8977.55,UPI,4
135,41,Male,139481,Business,New York,Bronze,49,50,150.9,107,Grocery,60,26,14,14,8059.73,Credit Card,6
136,54,Male,144529,Retired,Miami,Bronze,93,50,144.54,53,Sports,70,13,7,10,6099.02,Debit Card,2
137,52,Female,17251,Doctor,San Francisco,Silver,73,4,118.97,337,Beauty,59,7,0,12,483.65,Cash,9
138,61,Male,114108,Other,Los Angeles,Bronze,43,28,172.94,189,Sports,69,25,2,10,5502.49,Net Banking,4
139,57,Male,112382,Freelancer,Dallas,Bronze,3,31,183.04,238,Sports,45,21,0,7,6689.96,Cash,5
140,39,Female,24583,Business,Seattle,Gold,29,23,161.3,342,Grocery,62,13,6,10,3603.4,Credit Card,7
141,44,Male,65387,Business,Phoenix,Silver,85,14,489.59,337,Sports,10,29,15,15,6945.91,Debit Card,8
142,52,Male,38104,Business,Dallas,Gold,35,28,467.04,290,Fashion,65,0,0,13,14811.29,Net Banking,1
143,18,Male,27224,Teacher,Boston,Bronze,48,14,291.51,322,Books,26,26,15,9,4792.47,Net Banking,7
144,52,Male,75624,Teacher,Seattle,Bronze,74,1,490.72,320,Beauty,90,27,11,11,469.1,Debit Card,10
145,54,Female,119320,Other,Dallas,Silver,87,43,495.69,272,Beauty,60,16,8,10,20061.88,Net Banking,9
146,64,Male,93572,Retired,Miami,Bronze,39,32,184.41,41,Beauty,18,15,7,3,5785.09,Net Banking,2
147,31,Female,100469,Business,Miami,Bronze,89,41,228.14,197,Sports,59,11,14,12,8432.6,Debit Card,2
148,20,Female,92928,Retired,Miami,Gold,24,18,479.94,120,Fashion,21,28,10,15,9881.76,Credit Card,4
149,18,Male,19141,Student,Dallas,Platinum,20,5,308.23,333,Books,46,28,2,1,1429.08,Credit Card,1
150,22,Male,85871,Business,Miami,Bronze,15,42,114.34,283,Home,12,19,11,5,4705.19,Net Banking,9
151,43,Male,61015,Engineer,Chicago,Bronze,85,15,347.8,294,Home,78,22,12,15,4841.3,Credit Card,5
152,31,Male,74902,Business,Phoenix,Platinum,76,42,110.82,181,Beauty,32,4,11,1,3944.96,Credit Card,3
153,56,Female,20577,Other,Los Angeles,Bronze,18,16,176.29,99,Electronics,39,20,3,0,2940.97,Net Banking,6
154,44,Female,35002,Teacher,Seattle,Silver,60,36,121.5,10,Home,99,23,14,14,4527.28,Net Banking,7
155,26,Female,65711,Teacher,Houston,Platinum,87,36,130.04,232,Home,81,17,8,6,4297.37,Credit Card,4
156,32,Male,54451,Engineer,Dallas,Platinum,93,40,12.28,116,Grocery,55,3,9,15,399.13,UPI,2
157,32,Female,49831,Engineer,Dallas,Silver,41,30,441.55,63,Electronics,55,19,5,13,15560.65,Debit Card,5
158,43,Male,111498,Doctor,Phoenix,Bronze,100,38,155.04,175,Electronics,10,10,4,6,5551.1,Credit Card,7
159,59,Male,143949,Student,New York,Bronze,69,23,52.32,82,Toys,35,7,12,5,1222.01,Credit Card,10
160,30,Male,110119,Student,San Francisco,Gold,90,11,52.62,1,Beauty,80,21,14,11,496.34,UPI,10
161,68,Male,81830,Other,Boston,Platinum,75,25,282.45,298,Books,6,25,4,1,6358.42,Cash,3
162,49,Male,95632,Other,Seattle,Silver,11,45,496.53,216,Toys,68,8,0,4,21765.17,Cash,2
163,56,Female,51833,Other,New York,Gold,56,43,81.06,241,Books,62,25,15,0,3572.36,Debit Card,2
164,66,Female,39398,Other,Boston,Gold,18,2,58.81,296,Electronics,9,24,11,1,134.28,Net Banking,4
165,69,Male,76554,Other,San Francisco,Silver,12,35,224.77,59,Electronics,29,19,13,12,7207.43,Credit Card,4
166,49,Female,65755,Other,Houston,Gold,16,47,286.03,202,Home,71,9,14,11,15442.61,UPI,5
167,21,Male,79994,Student,Dallas,Silver,27,24,154.25,39,Fashion,80,6,14,4,3640.46,Net Banking,3
168,47,Male,78884,Freelancer,Miami,Silver,100,13,158.24,314,Grocery,6,18,0,4,2001.72,Net Banking,1
169,54,Male,99361,Teacher,Phoenix,Bronze,17,42,217.99,44,Sports,44,21,2,6,8776.23,Cash,4
170,40,Female,32482,Student,Seattle,Gold,85,37,163.93,297,Beauty,64,28,1,14,7002.34,Credit Card,1
171,56,Male,69225,Other,Phoenix,Silver,31,30,458.51,118,Home,67,0,15,15,12385.37,Debit Card,8
172,62,Male,89854,Doctor,Los Angeles,Bronze,35,11,30.56,130,Home,44,4,9,4,384.21,UPI,5
173,32,Female,56256,Doctor,Houston,Gold,27,23,124.94,279,Beauty,78,5,13,10,2401.32,Credit Card,2
174,60,Female,123721,Student,Los Angeles,Silver,87,46,406.19,49,Electronics,14,11,0,5,22087.81,Net Banking,5
175,46,Female,96110,Engineer,San Francisco,Platinum,32,28,418.64,87,Sports,9,27,11,1,11736.06,Net Banking,5
176,53,Male,128606,Doctor,San Francisco,Bronze,17,29,64.66,20,Home,100,11,4,4,2249.35,Debit Card,1
177,30,Male,29650,Retired,Chicago,Silver,11,15,487.14,231,Sports,23,20,13,7,7622.57,Cash,5
178,49,Female,43930,Engineer,San Francisco,Bronze,1,45,349.74,42,Sports,57,13,13,0,13330.98,Debit Card,8
179,24,Male,115400,Retired,New York,Platinum,92,3,143.57,22,Beauty,57,6,10,10,355.06,Debit Card,10
180,68,Female,26801,Teacher,New York,Bronze,82,9,233.46,215,Toys,15,27,2,12,1843.47,Credit Card,2
181,39,Female,66360,Freelancer,Miami,Silver,49,8,155.6,276,Beauty,64,19,14,12,1205.54,Cash,8
182,45,Male,102908,Doctor,Dallas,Gold,41,47,83.51,193,Books,7,20,14,13,4313.05,Net Banking,8
183,19,Male,47334,Engineer,Phoenix,Bronze,20,33,152.68,214,Toys,20,19,13,9,4032.19,Cash,1
184,59,Female,28288,Other,Dallas,Platinum,71,34,294.25,178,Home,64,13,6,6,9033.45,Credit Card,4
185,62,Female,27191,Retired,Dallas,Gold,37,9,414.73,142,Home,19,15,7,15,3863.31,Credit Card,5
186,70,Female,33051,Student,New York,Bronze,16,17,188.13,313,Books,6,8,9,7,2939.65,Debit Card,10
187,23,Female,76715,Retired,Phoenix,Bronze,39,41,180.47,25,Books,51,1,5,14,6975.86,Credit Card,8
188,45,Male,25737,Retired,Miami,Bronze,45,1,239.32,217,Toys,39,16,11,10,220.25,Cash,3
189,45,Female,80140,Teacher,Houston,Bronze,64,40,325.83,58,Home,65,30,4,12,15395.77,Debit Card,1
190,61,Female,20147,Business,Chicago,Gold,47,5,378.29,345,Fashion,71,3,14,4,1562.97,Debit Card,7
191,61,Female,65508,Business,New York,Platinum,23,30,170.13,44,Beauty,99,13,9,3,5935.86,Debit Card,4
192,37,Male,67224,Student,Los Angeles,Bronze,32,11,297.31,223,Beauty,25,13,11,0,3039.18,Cash,10
193,47,Male,34643,Teacher,Chicago,Silver,49,28,200.79,349,Fashion,23,27,4,8,5052.14,Debit Card,5
194,28,Female,53967,Teacher,Houston,Silver,81,38,361.04,255,Beauty,89,14,0,1,15822.82,UPI,6
195,45,Male,118535,Other,San Francisco,Bronze,19,17,90.69,109,Electronics,58,30,11,14,1410.43,UPI,4
196,42,Male,55733,Teacher,Dallas,Bronze,98,50,135.89,319,Electronics,11,27,5,10,8119.38,Cash,1
197,56,Male,49808,Teacher,Seattle,Bronze,78,23,218.77,339,Books,34,11,5,13,5128.5,Net Banking,8
198,50,Female,73959,Business,Miami,Silver,67,18,445.81,249,Fashion,31,12,2,13,7948.74,Net Banking,9
199,18,Female,147921,Engineer,Dallas,Silver,39,37,290.93,76,Home,38,21,14,4,12816.05,Debit Card,3
200,44,Male,83178,Teacher,San Francisco,Gold,89,27,483.04,282,Fashion,46,9,3,6,11616.67,Cash,10
201,69,Female,127255,Engineer,Houston,Bronze,60,25,60.61,86,Electronics,12,15,3,7,1763.13,Debit Card,4
202,30,Female,101322,Retired,Los Angeles,Gold,11,5,235.49,249,Sports,9,28,5,14,1220.56,Debit Card,5
203,58,Male,59565,Retired,Miami,Silver,49,19,215.35,207,Toys,13,28,13,15,4508.95,UPI,10
204,20,Male,16132,Teacher,Miami,Gold,15,27,304.1,158,Beauty,64,29,7,13,8480.12,Credit Card,9
205,56,Female,78668,Doctor,Houston,Silver,83,13,407.86,11,Grocery,20,14,11,10,5553.82,Cash,5
206,23,Male,123835,Freelancer,Chicago,Gold,61,7,422.31,224,Grocery,59,7,12,9,2548.13,Credit Card,7
207,25,Female,88169,Doctor,Boston,Gold,43,26,338.4,357,Fashion,85,3,12,14,7572.48,UPI,3
208,44,Female,115417,Retired,Dallas,Silver,15,14,324.35,300,Toys,22,0,8,3,4354.1,Credit Card,1
209,26,Male,16044,Freelancer,Chicago,Bronze,79,27,475.02,31,Grocery,65,13,8,9,12037.48,UPI,6
210,54,Female,39363,Doctor,New York,Platinum,79,8,198.01,53,Toys,60,8,4,0,1718.45,Net Banking,10
211,50,Female,61694,Teacher,Houston,Gold,73,31,418.06,241,Sports,41,18,7,6,14114.64,UPI,1
212,68,Male,147654,Engineer,New York,Platinum,5,35,461.54,114,Grocery,81,5,14,11,16566.1,Cash,6
213,59,Male,36301,Freelancer,Los Angeles,Gold,83,27,250.85,287,Electronics,45,15,15,12,6507.48,Net Banking,8
214,61,Male,89329,Business,Chicago,Silver,88,4,367.26,103,Fashion,4,25,12,9,1572.94,Debit Card,9
215,41,Female,16620,Student,Seattle,Bronze,29,42,194.74,310,Home,70,29,7,10,8792.01,Cash,8
216,32,Male,77224,Freelancer,Boston,Bronze,62,4,87.85,296,Grocery,45,23,9,10,394.85,Cash,5
217,49,Male,110419,Freelancer,Houston,Platinum,60,18,297.39,126,Beauty,58,10,3,8,6020.5,Cash,7
218,49,Male,135050,Business,Houston,Bronze,69,23,106.27,39,Books,83,20,3,0,2023.38,Credit Card,6
219,41,Male,70856,Teacher,Boston,Bronze,22,32,234.22,71,Books,94,26,2,13,7117.44,Credit Card,9
220,58,Female,70809,Doctor,Miami,Gold,13,12,437.71,234,Toys,23,22,12,0,5084.29,Debit Card,4
221,69,Female,37259,Doctor,San Francisco,Gold,50,20,52.15,246,Toys,32,10,4,14,1187.74,Credit Card,8
222,66,Male,35655,Retired,Los Angeles,Bronze,47,47,24.91,293,Fashion,63,13,7,14,1171.62,Cash,9
223,66,Female,36602,Engineer,Chicago,Bronze,29,45,307.17,246,Toys,93,10,7,14,13760.76,UPI,7
224,69,Male,100945,Teacher,Houston,Silver,80,12,172.22,311,Sports,8,25,8,6,2111.09,Debit Card,7
225,29,Male,115846,Business,Houston,Bronze,100,8,214.79,33,Electronics,85,13,13,8,1462.09,Debit Card,2
226,56,Female,95818,Teacher,Boston,Gold,17,22,208.8,128,Books,81,24,0,4,4713.58,Cash,9
227,19,Female,16537,Teacher,Seattle,Bronze,20,27,52.44,9,Grocery,81,0,13,3,1445.07,Net Banking,5
228,20,Male,141545,Doctor,Boston,Gold,78,41,11.75,167,Electronics,85,10,11,5,530.78,Credit Card,10
229,66,Male,104743,Business,Boston,Gold,6,41,450.23,271,Toys,79,29,3,8,19449.99,Net Banking,3
230,54,Female,101155,Other,Dallas,Silver,22,17,116.72,215,Sports,91,23,5,1,2345.4,Cash,4
231,66,Male,135198,Student,Chicago,Bronze,9,32,218.78,239,Books,25,17,4,4,5825.08,Net Banking,10
232,34,Female,104846,Freelancer,Miami,Silver,32,33,486.24,13,Home,33,16,3,3,17789.48,Cash,2
233,66,Male,45562,Doctor,Boston,Silver,88,31,415.11,89,Grocery,66,3,12,12,14162.98,Credit Card,3
234,19,Male,43036,Business,Seattle,Bronze,33,6,62.89,17,Home,16,21,15,2,342.53,Credit Card,6
235,19,Female,89233,Engineer,Miami,Gold,77,39,259.17,339,Toys,55,30,14,4,10910.38,Debit Card,1
236,45,Female,98049,Freelancer,Phoenix,Silver,99,9,367.74,168,Home,36,13,10,13,3520.58,Net Banking,2
237,40,Female,83681,Freelancer,Chicago,Gold,70,42,352.21,55,Fashion,72,7,2,6,13601.74,Net Banking,4
